09:28:51.279; -9; -9; 1016
09:28:51.290; -9; -9; 1014
09:28:51.300; -9; -8; 1014
09:28:51.310; -8; -8; 1015
09:28:51.321; -9; -8; 1017
09:28:51.333; -9; -9; 1016
09:28:51.344; -9; -9; 1016
09:28:51.354; -8; -8; 1017
09:28:51.366; -9; -7; 1015
09:28:51.377; -8; -7; 1016
09:28:51.388; -9; -7; 1017
09:28:51.399; -10; -8; 1010
09:28:51.410; -7; -10; 1024
09:28:51.421; -9; -10; 1016
09:28:51.432; -9; -7; 1016
09:28:51.443; -10; -8; 1017
09:28:51.454; -8; -8; 1014
09:28:51.465; -8; -8; 1016
09:28:51.476; -8; -8; 1019
09:28:51.487; -10; -9; 1016
09:28:51.498; -10; -8; 1016
09:28:51.509; -8; -8; 1015
09:28:51.520; -8; -8; 1016
09:28:51.531; -9; -7; 1016
09:28:51.542; -9; -9; 1017
09:28:51.553; -8; -8; 1017
09:28:51.564; -8; -7; 1017
09:28:51.575; -8; -8; 1015
09:28:51.586; -9; -8; 1017
09:28:51.597; -9; -8; 1015
09:28:51.608; -9; -8; 1016
09:28:51.619; -8; -8; 1016
09:28:51.629; -9; -8; 1017
09:28:51.640; -9; -8; 1015
09:28:51.650; -9; -8; 1017
09:28:51.662; -9; -8; 1015
09:28:51.673; -8; -7; 1017
09:28:51.684; -9; -8; 1016
09:28:51.695; -9; -9; 1017
09:28:51.706; -9; -8; 1016
09:28:51.717; -8; -8; 1016
09:28:51.728; -9; -8; 1016
09:28:51.739; -9; -8; 1015
09:28:51.750; -9; -8; 1017
09:28:51.761; -9; -8; 1016
09:28:51.772; -8; -8; 1016
09:28:51.783; -9; -9; 1016
09:28:51.794; -9; -9; 1016
09:28:51.805; -8; -8; 1016
09:28:51.816; -9; -8; 1016
09:28:51.827; -9; -8; 1016
09:28:51.838; -8; -8; 1014
09:28:51.849; -8; -9; 1016
09:28:51.860; -9; -9; 1016
09:28:51.871; -8; -8; 1017
09:28:51.882; -9; -8; 1017
09:28:51.893; -9; -8; 1017
09:28:51.904; -8; -8; 1015
09:28:51.914; -9; -8; 1017
09:28:51.926; -8; -8; 1016
09:28:51.936; -8; -8; 1016
09:28:51.948; -8; -8; 1017
09:28:51.959; -8; -8; 1017
09:28:51.970; -9; -8; 1017
09:28:51.980; -9; -8; 1017
09:28:51.991; -9; -9; 1016
09:28:52.002; -8; -7; 1016
09:28:52.013; -8; -8; 1017
09:28:52.024; -8; -8; 1017
09:28:52.034; -8; -8; 1017
09:28:52.045; -8; -9; 1017
09:28:52.056; -9; -8; 1016
09:28:52.068; -10; -7; 1017
09:28:52.078; -9; -8; 1016
09:28:52.090; -9; -7; 1016
09:28:52.101; -9; -8; 1016
09:28:52.112; -8; -8; 1016
09:28:52.123; -9; -9; 1017
09:28:52.134; -9; -9; 1016
09:28:52.145; -8; -9; 1017
09:28:52.156; -10; -7; 1017
09:28:52.167; -8; -7; 1016
09:28:52.178; -9; -8; 1017
09:28:52.189; -9; -7; 1016
09:28:52.200; -8; -8; 1016
09:28:52.211; -8; -9; 1017
09:28:52.221; -9; -7; 1017
09:28:52.232; -9; -7; 1016
09:28:52.244; -9; -8; 1015
09:28:52.255; -8; -8; 1017
09:28:52.266; -9; -8; 1016
09:28:52.277; -9; -8; 1016
09:28:52.288; -9; -8; 1016
09:28:52.299; -9; -8; 1017
09:28:52.310; -9; -9; 1016
09:28:52.320; -8; -8; 1016
09:28:52.330; -9; -9; 1017
09:28:52.342; -8; -8; 1016
09:28:52.353; -8; -9; 1016
09:28:52.364; -9; -8; 1017
09:28:52.375; -9; -8; 1017
